Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1E4E_Clean_ADP_uff_E=1313.79,-9.7,0.0,0.0
1E4E_Clean_ADP_uff_E=1313.79,-9.5,2.141,1.094
1E4E_Clean_ADP_uff_E=1313.79,-9.4,2.312,1.475
1E4E_Clean_ADP_uff_E=1313.79,-9.1,2.904,1.778
1E4E_Clean_ADP_uff_E=1313.79,-8.8,5.355,3.601
1E4E_Clean_ADP_uff_E=1313.79,-8.8,3.232,1.626
1E4E_Clean_ADP_uff_E=1313.79,-8.7,8.876,5.254
1E4E_Clean_ADP_uff_E=1313.79,-8.6,8.817,5.206
1E4E_Clean_ADP_uff_E=1313.79,-8.3,8.849,5.35
